ACTECON;GRUANALI;antiguedad;TAMAEMP;nrotrab;riesgo;categoria;lineanegocio;modular;producto;fechainicio
46;12;11;2;162;2;4;3;2;4;2022-02-03T00:00:00.0000000
46;12;11;2;162;2;4;3;2;4;2022-02-28T00:00:00.0000000
46;12;11;2;162;2;4;3;2;4;2022-02-28T00:00:00.0000000
124;9;23;2;8;1;6;4;2;6;2021-11-26T00:00:00.0000000
14;4;15;2;60;1;5;1;2;7;2021-07-23T00:00:00.0000000
76;9;17;2;132;1;6;1;2;7;2021-04-27T00:00:00.0000000
52;7;56;2;243;3;1;4;2;6;2021-06-02T00:00:00.0000000
52;7;56;2;243;3;1;4;2;6;2021-03-24T00:00:00.0000000
52;7;56;2;243;3;1;2;2;1;2021-03-01T00:00:00.0000000
52;7;56;2;243;3;1;2;1;2;2021-03-01T00:00:00.0000000
52;7;56;2;243;3;1;2;1;2;2021-03-01T00:00:00.0000000
52;7;56;2;243;3;1;2;2;2;2021-03-01T00:00:00.0000000
52;7;56;2;243;3;1;2;2;2;2021-03-01T00:00:00.0000000
52;7;56;2;243;3;1;2;1;2;2021-03-01T00:00:00.0000000
52;7;56;2;243;3;1;2;1;2;2021-03-01T00:00:00.0000000
52;7;56;2;243;3;1;2;1;2;2021-03-01T00:00:00.0000000
52;7;56;2;243;3;1;2;1;2;2021-03-01T00:00:00.0000000
52;7;56;2;243;3;1;1;1;0;2021-10-01T00:00:00.0000000
31;3;30;2;26;2;6;4;2;6;2021-11-10T00:00:00.0000000
31;3;30;2;26;2;6;4;2;6;2021-07-10T00:00:00.0000000
31;3;30;2;26;2;6;1;1;9;2022-01-10T00:00:00.0000000
12;4;27;2;28;3;4;2;2;9;2021-09-01T00:00:00.0000000
53;14;13;2;508;1;5;2;2;1;2021-10-01T00:00:00.0000000
52;7;28;2;195;3;1;2;2;2;2021-03-01T00:00:00.0000000
8;4;17;2;16;0;0;4;2;6;2021-03-20T00:00:00.0000000
8;4;17;2;16;0;0;4;2;6;2021-12-05T00:00:00.0000000
8;4;17;2;16;0;0;3;2;4;2021-10-18T00:00:00.0000000
8;4;17;2;16;0;0;3;2;4;2021-12-03T00:00:00.0000000
140;10;12;2;34;1;5;1;2;3;2021-03-13T00:00:00.0000000
103;4;8;1;26;2;4;1;2;3;2021-06-13T00:00:00.0000000
103;4;8;1;26;2;4;1;2;7;2021-06-13T00:00:00.0000000
12;4;13;2;18;3;4;3;2;4;2021-06-04T00:00:00.0000000
17;4;40;2;102;3;2;1;2;7;2021-12-31T00:00:00.0000000
17;4;40;2;102;3;2;1;2;7;2021-12-31T00:00:00.0000000
17;4;40;2;102;3;2;1;2;7;2022-01-18T00:00:00.0000000
17;4;40;2;102;3;2;1;2;7;2022-01-18T00:00:00.0000000
53;14;40;1;4645;1;5;2;2;1;2021-10-01T00:00:00.0000000
53;14;40;1;4645;1;5;1;2;0;2021-10-17T00:00:00.0000000
8;4;29;2;13;0;0;1;2;7;2022-02-02T00:00:00.0000000
8;4;29;2;13;0;0;1;2;7;2021-12-01T00:00:00.0000000
97;9;76;2;337;1;6;1;2;7;2021-05-10T00:00:00.0000000
97;9;76;2;337;1;6;1;2;7;2021-11-29T00:00:00.0000000
53;14;23;2;1412;1;5;2;2;1;2021-10-01T00:00:00.0000000
53;14;23;2;1412;1;5;2;2;1;2021-10-01T00:00:00.0000000
53;14;23;2;1412;1;5;4;2;5;2021-03-17T00:00:00.0000000
63;4;30;2;731;1;6;4;2;6;2021-07-15T00:00:00.0000000
63;4;7;2;17;1;6;4;2;6;2022-01-12T00:00:00.0000000
53;14;10;2;1869;1;5;2;2;1;2021-10-01T00:00:00.0000000
53;14;10;2;1869;1;5;2;2;1;2021-10-01T00:00:00.0000000
12;4;12;2;60;3;4;4;2;6;2022-02-18T00:00:00.0000000
12;4;12;2;60;3;4;4;2;6;2021-05-18T00:00:00.0000000
12;4;12;2;60;3;4;4;2;6;2021-06-04T00:00:00.0000000
12;4;12;2;60;3;4;4;2;6;2021-06-21T00:00:00.0000000
12;4;12;2;60;3;4;4;2;6;2021-11-30T00:00:00.0000000
12;4;12;2;60;3;4;1;2;9;2021-05-27T00:00:00.0000000
12;4;12;2;60;3;4;1;2;10;2021-05-27T00:00:00.0000000
12;4;12;2;60;3;4;3;2;4;2021-07-22T00:00:00.0000000
14;4;8;2;17;1;5;4;2;5;2021-12-31T00:00:00.0000000
26;7;37;2;1764;3;1;2;2;1;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;2;1;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;2;1;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;2;1;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;1;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;2;2021-03-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;2;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;2;2;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;2;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;2;2;2021-03-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;2;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;2;2;2021-03-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;2;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;2;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;2;2;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;2;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;2;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;2;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;2;2021-04-01T00:00:00.0000000
26;7;37;2;1764;3;1;2;1;2;2021-04-01T00:00:00.0000000
